dataset,classifier,k_from,k_to,interval,f1_from,f1_to,gain
RT-IoT2022,DT,0,5,0→5,0.0,0.9663042539261048,0.9663042539261048
RT-IoT2022,DT,5,10,5→10,0.9663042539261048,0.9793657826475975,0.013061528721492799
RT-IoT2022,DT,10,15,10→15,0.9793657826475975,0.9786952271623957,-0.0006705554852018958
RT-IoT2022,DT,15,20,15→20,0.9786952271623957,0.9788882687025684,0.00019304154017274477
RT-IoT2022,DT,20,25,20→25,0.9788882687025684,0.9973378420160528,0.018449573313484402
RT-IoT2022,GB,0,5,0→5,0.0,0.9656057139687272,0.9656057139687272
RT-IoT2022,GB,5,10,5→10,0.9656057139687272,0.979604580809258,0.013998866840530866
RT-IoT2022,GB,10,15,10→15,0.979604580809258,0.9810952620624246,0.001490681253166537
RT-IoT2022,GB,15,20,15→20,0.9810952620624246,0.9808607942375328,-0.00023446782489178197
RT-IoT2022,GB,20,25,20→25,0.9808607942375328,0.997703921200344,0.016843126962811206
RT-IoT2022,KNN,0,5,0→5,0.0,0.9555545210823556,0.9555545210823556
RT-IoT2022,KNN,5,10,5→10,0.9555545210823556,0.9755579873505792,0.02000346626822358
RT-IoT2022,KNN,10,15,10→15,0.9755579873505792,0.9763839710237596,0.0008259836731804304
RT-IoT2022,KNN,15,20,15→20,0.9763839710237596,0.9763296546664092,-5.4316357350425726e-05
RT-IoT2022,KNN,20,25,20→25,0.9763296546664092,0.9935927231482125,0.017263068481803256
RT-IoT2022,RF,0,5,0→5,0.0,0.9670507007058088,0.9670507007058088
RT-IoT2022,RF,5,10,5→10,0.9670507007058088,0.9798679716476544,0.012817270941845593
RT-IoT2022,RF,10,15,10→15,0.9798679716476544,0.97937239961735,-0.0004955720303043698
RT-IoT2022,RF,15,20,15→20,0.97937239961735,0.97977355539969,0.0004011557823400125
RT-IoT2022,RF,20,25,20→25,0.97977355539969,0.9981666006581492,0.018393045258459195
RT-IoT2022,SVM,0,5,0→5,0.0,0.8401829182880688,0.8401829182880688
RT-IoT2022,SVM,5,10,5→10,0.8401829182880688,0.9295532356588396,0.08937031737077084
RT-IoT2022,SVM,10,15,10→15,0.9295532356588396,0.9460719886560508,0.016518752997211172
RT-IoT2022,SVM,15,20,15→20,0.9460719886560508,0.9487922385144724,0.002720249858421564
RT-IoT2022,SVM,20,25,20→25,0.9487922385144724,0.9501156195350796,0.0013233810206072505
Edge-IIoTset,DT,0,5,0→5,0.0,0.6735854154519704,0.6735854154519704
Edge-IIoTset,DT,5,10,5→10,0.6735854154519704,0.9481630914985448,0.27457767604657446
Edge-IIoTset,DT,10,15,10→15,0.9481630914985448,0.9656919972155524,0.017528905717007603
Edge-IIoTset,DT,15,20,15→20,0.9656919972155524,0.9657274576645845,3.5460449032020946e-05
Edge-IIoTset,DT,20,25,20→25,0.9657274576645845,0.9701060333786417,0.004378575714057198
Edge-IIoTset,GB,0,5,0→5,0.0,0.7086209656566198,0.7086209656566198
Edge-IIoTset,GB,5,10,5→10,0.7086209656566198,0.952062926509587,0.2434419608529672
Edge-IIoTset,GB,10,15,10→15,0.952062926509587,0.969486805384396,0.017423878874809007
Edge-IIoTset,GB,15,20,15→20,0.969486805384396,0.9695615788046066,7.477342021056099e-05
Edge-IIoTset,GB,20,25,20→25,0.9695615788046066,0.9729000771588916,0.0033384983542850133
Edge-IIoTset,KNN,0,5,0→5,0.0,0.5666472397327066,0.5666472397327066
Edge-IIoTset,KNN,5,10,5→10,0.5666472397327066,0.842475089388867,0.27582784965616036
Edge-IIoTset,KNN,10,15,10→15,0.842475089388867,0.8616820778598032,0.01920698847093627
Edge-IIoTset,KNN,15,20,15→20,0.8616820778598032,0.8679597026124789,0.006277624752675681
Edge-IIoTset,KNN,20,25,20→25,0.8679597026124789,0.8755889936964142,0.007629291083935286
Edge-IIoTset,RF,0,5,0→5,0.0,0.6763412435723389,0.6763412435723389
Edge-IIoTset,RF,5,10,5→10,0.6763412435723389,0.9525406072263572,0.2761993636540183
Edge-IIoTset,RF,10,15,10→15,0.9525406072263572,0.9696141088988024,0.017073501672445146
Edge-IIoTset,RF,15,20,15→20,0.9696141088988024,0.969835832577821,0.0002217236790186261
Edge-IIoTset,RF,20,25,20→25,0.969835832577821,0.9739558385217756,0.004120005943954563
Edge-IIoTset,SVM,0,5,0→5,0.0,0.3245385201985521,0.3245385201985521
Edge-IIoTset,SVM,5,10,5→10,0.3245385201985521,0.6995242658076334,0.37498574560908127
Edge-IIoTset,SVM,10,15,10→15,0.6995242658076334,0.7175787477771722,0.01805448196953885
Edge-IIoTset,SVM,15,20,15→20,0.7175787477771722,0.7532824267204461,0.035703678943273864
Edge-IIoTset,SVM,20,25,20→25,0.7532824267204461,0.7622979339420267,0.009015507221580621
CICIoT2023,DT,0,5,0→5,0.0,0.9943314409628792,0.9943314409628792
CICIoT2023,DT,5,10,5→10,0.9943314409628792,0.994549697747818,0.0002182567849388084
CICIoT2023,DT,10,15,10→15,0.994549697747818,0.994151386303988,-0.0003983114438299573
CICIoT2023,DT,15,20,15→20,0.994151386303988,0.9945446778943284,0.0003932915903404055
CICIoT2023,DT,20,25,20→25,0.9945446778943284,0.9949879453609406,0.00044326746661216276
CICIoT2023,GB,0,5,0→5,0.0,0.9837960583476724,0.9837960583476724
CICIoT2023,GB,5,10,5→10,0.9837960583476724,0.9919004880249488,0.008104429677276426
CICIoT2023,GB,10,15,10→15,0.9919004880249488,0.992993507928178,0.0010930199032291865
CICIoT2023,GB,15,20,15→20,0.992993507928178,0.9938311559200782,0.0008376479919002255
CICIoT2023,GB,20,25,20→25,0.9938311559200782,0.9941298182765242,0.00029866235644604444
CICIoT2023,KNN,0,5,0→5,0.0,0.945973117919778,0.945973117919778
CICIoT2023,KNN,5,10,5→10,0.945973117919778,0.9488773932395876,0.002904275319809635
CICIoT2023,KNN,10,15,10→15,0.9488773932395876,0.9456128778400552,-0.0032645153995324305
CICIoT2023,KNN,15,20,15→20,0.9456128778400552,0.9209499819493672,-0.02466289589068804
CICIoT2023,KNN,20,25,20→25,0.9209499819493672,0.9215308316617992,0.0005808497124319967
CICIoT2023,RF,0,5,0→5,0.0,0.995279586300526,0.995279586300526
CICIoT2023,RF,5,10,5→10,0.995279586300526,0.9955008372980856,0.00022125099755954114
CICIoT2023,RF,10,15,10→15,0.9955008372980856,0.9948188584292744,-0.0006819788688111617
CICIoT2023,RF,15,20,15→20,0.9948188584292744,0.995215430449464,0.0003965720201896117
CICIoT2023,RF,20,25,20→25,0.995215430449464,0.9952188834857848,3.453036320766323e-06
CICIoT2023,SVM,0,5,0→5,0.0,0.2221992274989077,0.2221992274989077
CICIoT2023,SVM,5,10,5→10,0.2221992274989077,0.7166324158653398,0.4944331883664321
CICIoT2023,SVM,10,15,10→15,0.7166324158653398,0.7310263660966276,0.014393950231287866
CICIoT2023,SVM,15,20,15→20,0.7310263660966276,0.7412030803081194,0.0101767142114918
CICIoT2023,SVM,20,25,20→25,0.7412030803081194,0.750157423649843,0.008954343341723514
